Location,Beach number,y,x,Length (m),Orientation,Region
Pachyammos,1,35.17417,32.58567,700,N,West
Yialia,2,35.08641,32.49021,8500,NW,West
Natura,3,35.04673,32.43303,1400,NW,West
Lara,4,34.95788,32.31091,520,W,West
Toxeftra,5,34.92091,32.32649,840,W,West
Avdimou,6,34.65775,32.76432,1300,S,South
Tunnel Beach,7,34.66624,32.83412,1320,S,South
Akrotiri Fishing Shelter,8,34.59037,32.93806,530,W,South
Ladies Mile,9,34.61711,33.0058,5160,E,South
Governors Beach,10,34.71258,33.27161,388,E,South
Softades,11,34.8121,33.53889,550,SE,East
Faros,12,34.82081,33.60463,770,E,East
Ayia Napa,13,34.98414,34.00834,840,S,East
Protaras,14,35.01775,34.05324,840,NE,East